name,nice_name,node_id,processor,opd_address,opd_always_on,child
c3,C3,0x1,octavo,0x0,false,
battery_1,Battery 1,0x4,mcxn,0x18,true,
solar_1,Solar 1,0x0C,mcxn,0x0,false,
solar_2,Solar 2,0x10,mcxn,0x0,false,
solar_3,Solar 3,0x14,mcxn,0x0,false,
solar_4,Solar 4,0x18,mcxn,0x0,false,
solar_5,Solar 5,0x1C,mcxn,0x0,false,
solar_6,Solar 6,0x20,mcxn,0x0,false,
star_tracker_1,Star Tracker 1,0x2C,octavo,0x1C,false,
gps,GPS,0x34,octavo,0x19,false,
adcs,ADCS,0x38,mcxn,0x1A,false,
rw_1,Reaction Wheel 1,0x3C,mcxn,0x20,false,
rw_2,Reaction Wheel 2,0x40,mcxn,0x21,false,
rw_3,Reaction Wheel 3,0x44,mcxn,0x22,false,
rw_4,Reaction Wheel 4,0x48,mcxn,0x23,false,
dxwifi,DxWiFi,0x4C,octavo,0x1B,false,
cfc_processor,CFC Processor,0x50,octavo,0x1D,false,cfc_sensor
cfc_sensor,CFC Sensor,0x0,none,0x1E,false,
